Which one of the following is an application of Stack Data Structure? | Managing function calls, The stock span problem, Arithmetic expression evaluation.
Which of the following is true about linked list implementation of stack? | In push operation = False.
To evaluate an expression without any embedded function calls: | One stack is enough.
What is written to the screen for the input "FileComp****ress*ion**" ? | iserCeliF
Suppose the f(n) function is defined on the set of integer numbers as below. What is the value of f(-5)? | 3
An algorithm that calls itself directly or indirectly is known as | Recursion
Which data structure allows deleting data elements from front and inserting at rear? | Queues
Identify the data structure which allows deletions at both ends of the list but insertion at only one end. | Input-restricted deque
Which of the following data structure is non-linear type? | (Strings, Lists, Stacks)= False.
Which of the following data structure is linear type? | (Strings, Lists, Stacks)= True.
To represent hierarchical relationship between elements, which data structure is suitable? | Tree
A binary tree whose every node has either zero or two children is called | Extended binary tree
The depth of a complete binary tree is given by | Dn =  log2n + 1
When representing any algebraic expression E which uses only binary operations in a 2-tree, | the variable in E will appear as external nodes and operations in internal nodes
A binary tree can easily be converted into q 2-tree | by replacing each ... new external node
When converting binary tree into extended binary tree, all the original nodes in binary tree are | internal nodes on extended tree
The post order traversal of a binary tree is DEBFC. Find out the pre order traversal | ABDECF
Which of the following sorting algorithm is of divide-and-conquer type? | Quick sort
In a binary tree, certain null entries are replaced by special pointers which point to nodes higher in the tree for efficiency. These special pointers are called | thread
The in order traversal of tree will yield a sorted listing of elements of tree in | Binary search trees
In a Heap tree | Values in a node is greater than every value in children of it
In a graph if e=[u, v], Then u and v are called | endpoints of e & adjacent nodes & neighbors
A connected graph T without any cycles is called | a tree graph & free tree & a tree
In a graph if e=(u, v) means | e begins at u and ends at v & u is processor and v is successor
If every node u in G is adjacent to every other node v in G, A graph is said to be | complete
Suppose a singly linked list of integers is given below: (head)7 10 6 4 2 13 8 3(tail) | 7 10 6 4 2 13 8 5 3
Multi-programming. | may use a queue
Select the most correct statement about the complexity of bubble sort * | The best case is 0(n). and the worst case is 0(n~2)
Object dequeue() {if (isEmpty()) return(null); return(pool.remove(0));} | True
What is written to the screen for the input "HowAre**YouTo***Day" ? | ToDay
Suppose a singly linked list of integers is given below and p is a reference to the node with value 9 in the list (i.e. p.info=9): (head) 7 11 6 4 3 9 8 21 (tail) | 7 11 6 4 3 13 9 8 21
In a linked list, the tail node is introduced for performance purpose only. | True
Using the Huffman code tree below. What is the result of decoding the string: 1100000001100 ? | AABBBCAB
Which call will result in the most recursive calls? | fun(-1012);
