In relational data model, an attribute is a column|False *
A data model is a notation for describing data or information. And the description generally consist of:|3 parts *
DBMS stands for what?|Database Management System *
Look at this line: MOVIES (Id, Name, Description) What the above represent?|A schema *
Look at the following data for table R: .............. |R is a relation *
Choose all correct statements:|set of rows ,,Data Mode
Choose 3 important data models that we will study in database course|Network ,Hierachical,Relational 
In relational data model, a tuple is a record or a row|true
When the Relational Data Model first proposed?|1970
What is the oldest data model?|Network Data Model
How many data models mentioned in our database course?|6
XML files are semi-structured data|true
A relation is a list of tuples|false
A relation is a set of tuples|true
What is the father of relational data model?|Adgar Codd
In relational data model, an attribute is a column|false
A data model is a notation for describing data or information. And the description generally consist of:|3 parts
A weak entity:|both (a) and (b)
Give the relation R(XYZT) with the following FD's: XY -> Z ; XYT -> Z ; XYZ -> T ; XZ -> T|R is not in BCNF
Given the relation schema R(XYZT) and functional dependencies F = {X->Z, T->Y}.|both X->Z and T->Y
The highest normal form for relation schema R(XYZ) with functional dependencies: F = {XY-> Z;    Y->X;   Z->Y } is:|3NF
Give the relation R(EFGH) with the following FD's: E -> F ; F -> E ; E -> H ; H -> F|R is in 3NF
Give the relation R(ABCDE) with the following FD's: D -> C, CE-> A, D ->A, and AE ->D|ABE
Which of the following relations is in Third normal form (3NF)?|ACD -> B ; AC -> D ; D -> C ; AC -> B
Let R(ABCDEFGH) satisfies the following functional dependencies: A -> B, CH -> A, B -> E, BD -> C, EG -> H, DE -> F.|ADG -> CH
Which of the following statements are correct? (choose 2)|bo? in 3NF are also in BCNF
Which of the following relations is in Boyce-Codd Normal Form (BCNF)?|BD -> C ; AB -> D ; AC -> B ; BD -> A
How many design principles are there in our course when drawing an ERD?|5
Which of the following are guidelines for designing the relational schema ?|All of the above
Choose the correct statements: When draw an ERD (choose 2):|We ,,when an entity
Given relation scheme R = (XYZTV) and functional dependencies:{XY -> ZTV and X -> V}. So, we can say that:|XY is a key for R
Consider a relation R(A,B,C,D,E) with functional dependencies: AB->C, B->D, and C->E.|AB
The ER model means that:|be close to a users perception of the data
Consider the following statement: "When drawing ERD, you should avoid saying something in many different ways'|Avoid Redundancy Principle
Consider the following statement: "Entity Sets and their attributes should reflect the reality" That above statement describes which principle?|Faithfulness principle 
Choose the correct statements: When draw an ERD (choose 3):|bo? Redundancy is not important, so we can ignore it
Given the relation schema R(MNPQ) with FDs:{MN->P;  MN->Q;  PQ->M; PQ->N}.|3NF
The functional dependency A -> B for relation schema R(A,B.C,D) implies that|value for A must have the same value for B
How many primitive relational algebra operators are there in our course?|6
Suppose relation R(A.B) has the tuples:|None of the above
Suppose relation R(A.B) has the tuples:|(3.4.6.8),(12.4.6)
Consider the following statement "When drawing ERD. you should avoid introducing more elements into your design than necessary"|Simplicity Count Principle
Suppose relation R(A.B) has the tuples:|(1.2.4.6.8),(1.2.2.4.6)
Suppose relation R(A.B) has the tuples:|(5.6),(7.8)	
Consider the following statement "When drawing ERD. if an entity has no non-key attribute and it is the "one" in many-one relationship, then we should set r! to the attribute of other entities"|Picking the right kind of element principle
Consider the following statement  "When drawing ERD. you should avoid drawing entities that can not be uniquely identified by their own attributes"|Avoid Redundancy Principle
The LEN function in SQL Server is:|A scalar function
What is the meaning of the LEN function in SQL Server?|number of characters of a string
How to remove all trailing blanks?|We can use the RTRIM function 
The following is the syntax for the DATEDIFF function: DATEDIFF ( datepart, startdate , enddate )|true
How to remove all leading blanks?|We can use the LTRIM function
What is the meaning of the ISNULL function?|NULL with the BLANK value
Which of the following is in-correct?|SELECT datepart(‘1-jan-09’, day)
Which of the following is in-correct?|SELECT datepart('1-jan-09', year)
Which of the following is in-correct?|SELECT datepart(‘1-jan-09', month)
How to convert a number to a string? (choose all possible)|CONVERT,,CAST
What is the meaning of the DATEADD function?|adds an interval to a date you specify
The CASE function is used to Evaluates a list of conditions and returns one of multiple possible result expressions|true
In SQL Server, an index is an on-disk structure associated with a table or view that speeds up retrieval of rows from the table or view|true
Clustered index is not a good choice for the columns that undergo frequent changes|true
A table or view must have a clustered indexe and some non-clustered indexes|false
SQL Server typically selects the most efficient method when executing queries. However, if  no indexes are available. SQL Server must use a full table scan|true
How many clustered index we can create in a table?|1
Indexes can be helpful for a variety of queries that contain SELECT, UPDATE, or DELETE statements|true
In SQL Server, indexes are automatically created when PRIMARY KEY and UNIQUE constraints are defined on table columns|true
In reality, an incorrect index choice can cause less than optimal performance|true
You should define the clustered index key with as few columns as possible|true
Choose the incorrect statement|Non-Clustered indexes sort and store the data rows in the table based on their key values
An index contains keys built from one or more columns in the table or view. These keys are stored in a structure (B-tree) that enables SQL Server to find the row or rows associated with the key values quickly and efficiently|true
When performing a table scan, the query optimizer reads all the rows in the table, and extracts the rows that meet the criteria of the query. A table scan generates any disk I/O operations and can be resource -intensive|false
Choose the correct statement|Clustered indexes son and store the data rows in the table based on their key values
Well-designed indexes can reduce disk I/O operations and consume fewer system resources, therefore it improves query performance|true
Choose all the correct statements about indexes|all 
How to build a good performance database?|None of the above
We should use which function to get the number of rows affected by the last statement|@@IDENTITY
How  to write a good performance SQL query?|Always try to avoid using "SELECT *”
Choose the correct answer|Normalize the database to 3NF
Choose all the thing that we should do with SQL Server|Use the tools,,SELECT
We should use which function to get the last-inserted identity value.|@@IDENTITY
A Database is called having good performance if|None of the above
To improve the DB performance:|set-based queries and 
Regardless of what any other transaction is doing, a transaction must be able to continue with the exact same data£ sets it started with. The above describes which property of a transaction?|Isolation
Every row and value must agree with all constraints once the transaction is complete. The above describes which property of a transaction?|Consistency
The DB product must be constructed so that even if the data drive melts, the DB can be restored up to the last transaction that was committed a split second before the hard drive died The above describes which property of a transaction?|Durability
Which is the most dangerous fault that can potentially affect the integrity of a transaction?|Dirty Read
How many properties we must use to measured the quality of a transaction?|4
Once a transaction is committed, it stays committed The above describes which property of a transaction?|Durability
Choose all correct statements|COMMITTING,,ROLLING,,In SQL 
Please choose 3 properties of a lock in DBMS|Duration ,Granularity,mode-the type
Which is the least dangerous fault that can potentially affect the integrity of a transaction?|Phantom rows
Each transaction must be isolated or separated from the effects of other transaction The above describes which property of a transaction?|Isolation
At the end of the transaction, either all statements of the transaction is successful or all statements of the transaction fail. The above describes which property of a transaction?|Atomic
When sorting. Null values are treated as the lowest possible values|true
Except for COUNT, aggregate functions ignore null values|true
How to returns a part of a character, binary, text or image? (For example: how to get the ‘bcd’ in ‘abcdef’ string)|Use the SUBSTRING function
The ORDER BY clause can not include items not appearing in the select list|true
RANK() and ROW_NUMBER() are 2 ranking functions|true
We can use the Aggregation in WHERE clause|false
How to get the information about the number of attempted connections, either successful or unsuccessful since SQL Server was last started|Use the @@CONNECTIONS
A trigger is a special kind of stored procedure that automatically executes when an event occurs in the database server|TRUE
The RANK() function returns the rank of each row within the partition of a result set|true
How to get the information about the version, processor architecture, build date, and operating system for the current installation of SQL Server|Usethe @@VERSION When create stored procedures, the "WITH ENCRYPTION" option indicates that SQL Serverwill convert the original text of the CREATE PROCEDURE statement to an obfuscated format|true
The maximum nested level of a Transact-SQL stored procedure is 64MB|false
