Which of the following is the intangible value? | Customer influence
Both profitability and survivability must be considered when considering risks. You will want to consider which of the following items? | Client/stakeholder confidence
At the suggestion of NIST SP 80030, if a threat exploits the vulnerability, the medium impact is | Result in human injury.
What is the first step of the risk identification? | Identify threats
Although these threats are unintentional, you can address them with a risk management plan. Which of the following is a method do that? | Managing environmental threats
Which of the following is the most serious attacker? | Disgruntled employees
What is the separation of duties? | The principle ensures that any single person does not control all the functions of a critical process.

Companies that practice "separation of duties" force two or more employees to carry out which of the following in order to carry out fraud? | Collusion
Which of the following has an incorrect definition assigned to the term? | Baseline = a description of what the environment will look like, a standard of measure, after security is implemented
The Control Objectives for Information and related Technology (COBIT) is a framework and set of best practices. Which of the following provides an incorrect characteristic of COBIT? | COBIT is broken down into five domains
Which of the following is the de facto standard of best practices for IT service management. It was created because of the increased dependence on information technology to meet business needs. | ITIL
The Kennedy-Kassebaum Act is also known as? | HIPAA
The risk management plan specifies responsibilities. You can assign responsibilities to all except: | Staffs and customers
What is the responsible of risk management PM? | Tracking and managing all project issues.
The IT department is responsible for providing which of the following? | Costs for each of the recommended solutions
There are the major categories of reporting requirements except: | BIA report
What would be an appropriate difference between a qualitative and a quantitative risk analysis? | Qualitative is a subjective observation, while a quantitative approach defines statistical costs associated with a threat.
To calculate the annualized loss expectancy (ALE), which formula is used to calculate the potential loss to an organization for a specific threat? | SLE x ARO
A company issues laptop computers to employees. The value of each laptop is $1,500. About 100 laptops are being used at any time. In the past two years, the company has lost an average of one laptop per quarter. The company provides hardware locks for the laptops in bulk at a cost of $10 each, the ARO will decrease to 1. What is savings with control? | $4,500
What is an ARO? | A number that represents the estimated frequency of an occurrence of an expected threat
Before progressing with the RA, you need to complete which of the following actions? | Define the assessment.
When review the previous findings, the items especially worth investigating are all except: | Obsolete proposals
What is the warm site? | It may include all the hardware but the data may not be up to date.
Which of the following information is not provided by threat model? | Threat controls
What is the category of intellectual property? | Industrial property
Which of the following is not the characteristic of data warehousing? | Decision makers are able to view the data from different perspectives.
What does ELT stand for? | Extract, Load and Transform
In Workstation Domain, you can use automated asset management systems to keep systems up to date. What is the first step of the automated system? | monitoring new updates
Which of the following is an best example of internal threat? | Unintentional access
Which of the following tests verifies user rights and permissions? | Access controls testing
Which correct describes the audit? | It will check to see if an organization is following the policies that are in place.
Which correct describes the audit trail? | It is a series of events recorded in one or more logs.
Which of the following is an example of policy? | AUP
What is a certification authority (CA)? | It issues and manages certificates.
Which of the following is an example of class C in fire suppression systems? | Electrical fires
When identify assets, your asset inventory could have resulted in the high priority with: | Network infrastructure
Which is the most valuable technique when determining if a specific security control should be implemented? | Cost/benefits analysis
What is defense in depth? | security practice that adds multiple layers of protection.
What does TPM stand for? | Technology Protection Measure
Which of the following elements is commonly included in any CBA report for a countermeasure? | Risk to be mitigated
When implementing a risk mitigation plan, you should which of the following goals? | Stay within budget
Which of the following is not consideration when developing the mitigation plan? | Time to approve the countermeasures
What are the costs to implement? | Facility costs
Business processes can survive without the business functions for one or more days. What is this impact value level? | Level 3
What is the second step of a BIA process? | Identify stakeholders.
Which of the following is not the best practice for performing a BIA for your organization? | Look for the quick solution
Which of the following is a CBF? | Sales from the Web site
Which of the following is not a key objectives that directly support the BCP? | Identify critical threats
What is the most crucial piece of developing a disaster recovery plan? | Management support
Business continuity plans address all of the following except: | Critical servers used on the company's LAN
Which of the following things occurs when reconstitution phase begin? | The damage at the original location is repaired
DRP mean essentially the same thing all but which of the following? | Business continuity plan
What is the RTO? | The time when a system or function must be recovered.
Which of the following is not purpose of the DRP? | Identify business impact
Which of the following is critical success factor of the DRP? | Knowledge and authority for DRP developers
Some malware can execute on a user's system alter the user accesses a Web site. The malware executes from within the Web browser. What type of malware Is this? | Mobile code
