1-what is the complex descriptive conceptual model? | stochastic
2-which best describes physical model | a tangible representation of something

4-what does NIH stand for | not-invented-here
5-which of the following is not a relationship model | tree
6-what is a SIGINT denial | emissions control
7-what is the finished step in a cycle of the traditional intelligence cycel | dissemination
8-which of the following is a brawback of the traditional intelligence cycel | a gap exists between dissemination and needs
9-what is occam's razor principle | explain your observations with the fewest possible hypotheses
11-what is the most complex system | narcotics distribution system
12-what is the main reason of the vividness weighting problem | the channel for communication of intelligence is too short
13-what is the framing effect | awareness of the problems in a certain frame
14-the network persective suggests that the power of an individual actor arises from relationships with other actors. this concept is called: | equivalence
15-which of the following is a projection technique | influence trees
16-which of the following is not a level of conflict | statistical
17-in social network analysis, what is the source to evaluate the centrality concept | degree, closeness and betweenness
18-what is the first step of collection strategy | examining the relationship
19-which of the following is not a characteristic of the complex problems | only one stakeholder
20-what is the deterrence level | it focuses on an opponent's potential actions as a way to resolve an already unfavorable situation
21-what is tradecraft | the techniques are standardized in business intelligence
22-crisis management is activity called for wich of the following levels | defeat
23-what is the first of the traditional intelligence cycle | requirements or needs
24-what is a passive deception | decoys
25-in wigmoire's charting method, question marks mean like | doubt about the probative effect of the evidence
26-which of the following is a positive government regulatory force | intervention
27-what is a cumulative reducdancy | the report does not duplicate information,butit adds credibility to the other reports
28-what is the first step of the predictive approach | determine the forces that acted on the entity to bring it to its present state
29-wich of the following is not the predictive mechanism | bayesian
30-what are enigmas | something that the analyst knows exists with physical evidence
31-which of the following is correct pertaining to the stochastic model | a model that has any uncertainty incorporated into it
32-what is not SIGINT | imint
33-what is the top stage of the generic target model has been used for describing the development of a technology or product | production prototype
34-in statement of the problem, what is the result needed | written reports(increasingly in electronic form)
35-geospatical intelligence is an example of | imint
36-what is SIGINT | intelligence derived from deliberate electronic trasmission
37-what is not an open source in technology assessment | license
John works in the accounting department but travels to other company locations. He must present the past quarter's figures to the chief executive officer (CEO) in the morning. He forgot to update the PowerPoint presentation on his desktop computer at the main office. What is at issue here? | Availability of the data
Governance is the practice of ensuring an entity is in conformance to policies, regulations, _______, and procedures. | Standards
COBIT is a widely accepted international best practices policy framework. | True
Which of the following are generally accepted as IA tenets but not ISS tenets? (Select two.) | Authentication - Nonrepudiation
Greg has developed a document on how to operate and back up the new financial sections storage area network. In it, he lists the steps required for powering up and down the system as well as configuring the backup tape unit. Greg has written a _______. | Procedure
When should a wireless security policy be initially written? | After a company decides to implement wireless and before it is installed
A toy company is developing the next generation of children's reading aids. They already produced a comparable product, but the new one will not be available on shelves for another two years. What process would drive policies related to the new product's information systems security? | Business process reengineering
Implementation and enforcement of policies is a challenge. The biggest hindrance to implementation of policies is the _______ factor. | Human
Information systems security policies should support business operations. These policies focus on providing consistent protection of information in the system. This happens by controlling multiple aspects of the information system that directly or indirectly affect normal operations at some point. While there are many different benefits to supporting operations, some are more prevalent than others. Which of the following are aspects of ISS policies that extend to support business operations? | All the above
Ted is an administrator in the server backup area. He is reviewing the contract for the offsite storage facility for validity. This contract includes topics such as the amount of storage space required, the pickup and delivery of media, response times during an outage, and security of media within the facility. This contract is an example of information security. | False
What is policy compliance? | Adherence to an organization's policy
What is an automated control? | A control that stops behavior immediately and does not rely on human decisions
Which of the following is not a business driver? | Ability to acquire the newest technology
A firewall is generally considered an example of a _______ control. | Preventive
What is an information security policy? | A policy that defines how to protect information in any form
Which of the following is not a type of security control? | Correlative
Security awareness programs have two enforcement components: the _______ and the _______. | Carrot, stick
Most security policies require that a label be applied when a document is classified. | False
What are the benefits to having a security awareness program emphasize the business risk? | All of the above
Within which of the following do security policies need to define PII legal requirements? | The context of the business and location
Information used to open or access a bank account is generally considered PII data. | True
Which of the following is not a benefit of having an acceptable use policy? | Prevents employees from misusing the Internet | Lower risk exposure can be perceived only through actual measurement. | False
Which of the following do you need to measure to achieve operational consistency? | All of the above
Well-defined and properly implemented security policies help the business in which of the following ways? | All of the above
When creating laws and regulations, the government's sole concern is the privacy of the individual. | False
Which of the following are pressures on creating security policies? | All of the above
Which of the following laws require proper security controls for handling privacy data? | All of the above
Which of the following are control objectives for PCI DSS? | A and B only
A SAS 70 audit is popular because it allows a service auditor to review an organization's _______ and issue an independent opinion. | Control environment
Health care providers are those that process and facilitate billing. | False
The law that attempts to limit children's exposure to sexually explicit material is _______. | CIPA
It's easier to quantify leading practices than best practices. | True
You should always write new security policies each time a new regulation is issued. | False
What should you ask for to gain confidence that a vendor's security controls are adequate? | A SAS 70 Type II audit
Why is it important to map regulatory requirements to policies and controls? | All of the above
Private WANs must be encrypted at all times. | False
Which of the following attempts to identify where sensitive data is currently stored? | Data Leakage Protection Inventory
Voice over Internet Protocol (VoIP) can be used over which of the following? | Both
Which of the following is not one of the seven domains of typical IT infrastructure? | World Area Network Domain
Which of the seven domains refers to the technical infrastructure that connects the organization's LAN to a WAN and allows end users to surf the Internet? | LAN-to-WAN Domain
Many of the business benefits of Internet access over mobile devices include which of the following? | A and B only
A _______ is a term that refers to a network that limits what and how computers are able to talk to each other. | Segmented network
A LAN is efficient for connecting computers within an office or groups of buildings. | True
What policy generally requires that employees lock up all documents and digital media at the end of a workday and when not in use? | Clean desk policy
What employees learn in awareness training influences them more than what they see within their department. | False
What kind of workstation management refers to knowing what software is installed? | Discovery management
Always applying the most strict authentication method is the best way to protect the business and ensure achievement of goals. | False
Generally, remote authentication provides which of the following? | More controls than if you were in the office
Remote access does not have to be encrypted if strong authentication is used. | False
Where is a DMZ usually located? | Between the private LAN and public WAN
Which of the following is a basic element of motivation? | All of the above
Which personality type often breaks through barriers that previously prevented success? | Commanders
Avoiders like to _______ and will do _______ but not much more. | Be in the background; precisely what is asked of them
As the number of specialties increases so does _______. | The cost of business
In hierarchical organizations, the leaders are close to the workers that deliver products and services. | False
User apathy often results in an employee just going through the motions. | True
Which of the following is a method for overcoming apathy? | Engaging in communication
Why is HR policy language often intentionally vague? | avoid contract, promise
In the case of policies, it is important to demonstrate to business how polices will reduce risk and will be derived in a way that keeps costs low. | True
Interpreting security policies against new business situations and new technologies ensures the business gets the maximum benefit from the policies over time. | True
Kotter's Eight-Step Change Model can help an organization gain support for _______ changes. | Security policy
When a catastrophic security breach occurs, who is ultimately held accountable by regulators and the public? | Company officers
Which of the following are attributes of entrepreneurs? | A and C
