____ virus uses an executable file as a host. | File
What is a Trojan Horse? | A program designed to take down the computer system while performing an inoffensive...
Rootkits are: | a set of software tools that enable an unauthorized user to gain control of a computer
Covert channels work over ____ | known channels
Which of the following is most likely to make your computer stop working? | Virus
REMnux is ____ | All of the other choices
____ generally does not limit the impact of worms. | Rebooting your system
____ is antivirus that has predefined rulesets that is used to detect the malicious software or malware | ClamAV
____ is a characteristic of adware. | Displaying popup
____ is a self-contained program that does not integrate itself with other programs to spread. | Worm
Trojans can be used to open backdoors on a system. | True
Wireshark is | a network packet analyzer
Which of the following refers to software designed to harm your computer or computer security, engage in criminal activity, or compromise resources on some way? | malware
We can customize clamAV signature by using ____ | All of the mentioned
Which of the following is best describing botnets? | A botnet consists of a network of compromised computers that attackers user to lauch attacks and spread malware
VirusTotal is ____ | Static analysis
Which of the following type of malware secretly gathers and transmits system information, often for advertising purposes? | Spyware
____ is used to intercept user information | Spyware
Backdoors are an example of covert channels. | True
What is an antivirus? | Computer software is used to prevent, detect and remove malicious software
The registry composed of binary data files is also called ____ | Hive
Why does alternate data streams (ADS) cause risk to our computer? | It allows malware to hide files from anyone who doesn't have special tool to view them
Assembly language programs are written using | Mnenonics
____ can extract a dll from a process memory space and dump it to disk for analysis. | dlldump
Which the following tools are developed to memory forensics | All of them
____ GUI tool for Windows that you can use to detect packers | None of all
How many types of SRE? | Code, Data and information Reverse Engineering
rip.pl -r /mnt/forensics/Documents\ and\ Settings/Mr.\Evi/NTUSER.DAT -p typedurls | In order to determ suspect's web-browsing history
win64dd -d /f c:\memory.dmp | Create a memory dump file in C
perl rip.pl -r /mnt/forensics/WINDOWS/system32/config/software -p userinit | to determine the value of the "userinit" registry key
In order to view hidden ADS file on window OS, we type the comand: | dir /R
Can print list of loaded DLLs for each process | dlllist
Which of the following answers are true about use of Reverse Engineering? | All of the other choises
____ is forensic analysis of a computer's memory dump | Memory forensics
____ are debugers | All of the other choises
Can extract all memory resident pages in a process into an individual file | memdump
regripper/rip -r G:\Windows\System32\config\SYSTEM -f info | we are recovering data from the SYSTEM registry hive located on drive G
____ can dump a process's executable | procdump
rip.pl -r /mnt/forensics/WINDOW/system32/config/software -p uninstall | Determining all installed applications
Which is the following tool that allows us to detect ADS in a file | streams.exe
____ can be considered a self-extracting archive, where compressed data is packaged along with the relevant decompression code in an executable file | runtime packer
Which of the following is not a stand-alone program? | virus
Which of the following is most likely to send spam emails from your computer? | worm
Which of the following is least likely to be detected with standard antivirus software? | adware
Which of the following is most likely to come with other malware? | Trojan
Which of the following is bundled with the peer-to-peer file-sharing software, Kazaa? | adware
Which of the following is most likely to install a "backdoor" internet connection? | worm
Which of the following is most likely to be involved in a denial-of-service attack? | worm
Which of the following is the only malware publicly documented as having been employed by the FBI to bring a suspect to trial? | Trojan
____ is piece of software that takes the original malware file and compresses it, thus making all the original code and data unreadable | packers
Which of the following answers are Select one or more | Both of them
can list the processes of a system | pslist
____ is a tool to extract and analyze data from the registry | RegRipper
Computer program performed the reverse operation by converting it into Assembly language is known as | Disassemble
perl rip.pl -r /mnt/forensics/WINDOWS/system32/config/software -p product | To get information about all programs installed on this computer
____ are pieces of info hidden as metadata on files on NTFS drives | ADS
Which type of packers is used to pack crackme.exe? | No packer is used
Why does malware writer attempt to pack his malware | to make it harder to detect and to analyze
are usually the tool of choice for dynamic analysis | Debugger
____ is a highly reliable technique thats used to hide file contents, and sometimes the entire file itself if using a packer program | Obfuscation
Obfuscating is a technique in order to ____ | Anti-SRE technique
____ are debuggers | All of them
The registry has two basic elements | Keys and values
Security in the main registry contains the | users and system security settings
____ can dump hibernation file information | hibinfo
Compilers translate high-level programs to machine code as follows: | Either directly,Indirectly via an assembler
can extract a DLL from a process's memory space and dump it to disk for analysis | dlldump
C:\> more < somefile.txt:secretfiIe.txt | The command allows us to create hidden ADS file
____ can acquire physical memory (RAM) from a Windows hibernation file | hibr2bin
x86 is ____ architecture | CISC
ARM is ____ architecture | RISC
Obfuscating is a technique in order to | Decompile a program
Why does maiware writer attempt to pack his maiware | to make it harder to detect and to analyze
are debuggers | All of them
rip.pl -r /mnt/forensics/WINDOWS/system32/config/software -p networkcards | In order to determine the network cards used
can converts a physical memory sample to a windbg crash dump | raw2dmp
rip.pl -r /mnt/forensics/Documents\ and\ Settings/Mr.\ Evil/NTUSER.DAT -p typedurls | In order to determine suspects web-browsing history
can print list of loaded dlls for each process | dIllist
Which tool is used to search for hidden data | mmls
The registry is a composed of binary data files also called | Hive
can view the process listing in tree form | pstree
The SAM hive contains the | users settings and hashed passwords
An affiliate program is | an arrangement made between two e-commerce sites that directs viewers from one site to the other site
Which of the following is a count of the number of people who visit one site, click on an ad, and are then taken to the site of the advertiser? | Click-through
Which type of business environment supports computer-to-computer transfer of transaction information contained in standard business documents, such as invoices and purchase orders, in a standard format. | Electronic data interchange (EDI)
Which scrambling technique provides you with two keys: one key that everyone in an organization can have to scramble the contents of a file and another key for the intended recipient to unscramble the file? | Public key encryption (PKE)
Which of the following best defines an infrastructure which allocates the information and processing power of IT systems to a location where it can most efficiently be done.? | Distributed infrastructure
Which of the following is a typical component of a client/server infrastructure? | Web browser
Which of the following is true of cloud computing? | It gives immediate access to a broad range of application software.
Which of the following types of technology scrambles the contents of files sent via the Internet? | Encryption
What type of Web technology creates a secure and private connection between two computers? | Secure socket layers
____ can be defined as the principles and standards that guide our behavior toward other people. It is also about the reasons we give for thinking we ought to live one way rather than another, make one decision rather than another, or opt for one policy over another. | Ethics
The ____ says that you may use copyrighted material in certain situations, for example, in the creation of new work or, within certain limits, for teaching purposes. | Fair Use Doctrine
Which of the following is a program that, when installed on a computer, records every keystroke and mouse click? | Key logger
A ____ floods a server or network with so many requests for service that it slows down or crashes | denial-of-service attack
____ refers to the use of physiological characteristics such as fingerprints, the blood vessels in the iris of the eye, and the sound of one's voice to provide identification | Biometrics
____ is a way of protecting messages and files by scrambling the contents of a file so that one cannot read it without having the right key. | Encryption
While making an ethical decision, ____ refers to an ethical consideration which asks how much harm or benefit will come out of the decision. | consequences
While making an ethical decision, "relatedness" is an ethical consideration which: | refers to the degree to which one identifies with the person or people who will be benefitted or harmed.
In an educational setting, instructors have access to and use a whole host of copyrighted materials. Which of the following allows these individuals to make use of copyrighted materials for teaching purposes? | Fair Use Doctrine
