Which of these following items are benefits of E-Learning? Hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
How many type of E-Commerce do you know? Typing these names of them! | 4
To evaluate, how many dimensions of E-Commerce we will use? | 3
What does C2B stand for? Hint: capitalize the first letter of each word. E.g: if NIC, you need to enter Network Interface Card only. | consumer-to-business
Electronic market (e-marketplace) | An online marketplace where buyers and sellers meet to exchange goods, services, money, or information
Brick-and-mortar organizations | Old-economy organizations (corporations) that perform their primary business offline, selling physical products by means of physical agents
Virtual (pure-play) organizations | Organizations that conduct their business activities completely online
Click-and-mortar organizations | Organizations that conduct some e-commerce activities, usually as an additional marketing channel
How many common types of Revenue model existing in E-Commerce? | 5
How many main steps are existing in a generic purchasing-decision model in E-Commerce? | 5
Select the correct answer from the choices below to fill in blank. Click in to figure to see the blank | Customize
Choose the right types and activities in knowledge management (KM) Hint: choose multiple answers (6) | ,Create,Capture,Refine,Store,Manage,Disseminate
Select the correct definition of "Spot buying" term from the choices below | is the purchase of goods and services as they are needed, usually at prevailing market prices
A company allows peoples to watch a sports competition in real-time for a fee. So that companys revenue follows: | Subscription Model
A technology that is used to electronically transfer routine documents, such as invoices and purchase orders, and for financial transactions is _____. | electronic data interchange
The most common and traditional form of auctions in which one seller entertains bids from many buyers is referred to as: | forward auctions.
A mode is purchasing where prices are negotiated or discounted is _____, which refers to nonfixed prices, such as those in auctions or stock markets. | dynamic pricing
Software tools that scout the Web for stores that sell similar items at low prices are called _____. | Shopping portals
Broadly, ______ refers to marketing that takes place without intermediaries between manufacturers and buyers; or marketing done online between any seller and buyer. | direct marketing
To avoid getting false information from participants of online surveys, marketers learn about customers by observing their behavior using each of the following EXCEPT: | Data mining to analyze clickstream data.
_______ is the direct purchasing from internal marketplaces without the approval of supervisors and without the intervention of a procurement department. | Desktop purchasing
An exchange that handles materials used by companies in different industries is referred to as a ____________________ | horizontal exchange
One of the most important issues in implementing e-Government is_________________ | its adoption and usage by citizens
The major benefit of an DSS is _________________ | in easier decision making
The primary advantage that e-books offer publishers is: | lower production, marketing, and delivery costs.
The major enterprise mobile applications are all of the following EXCEPT: | research and development
Characteristics of mobile devices that create special requirements that hardware and software designers need to anticipate when designing mobile computing systems include all of the following EXCEPT: | broad bandwidth
Choose the right term with the following description: The use of digital technologies that enable companies to collaboratively plan, design, develop, manage, and research products, services, and innovative EC applications | collaborative commerce (c-commerce)
A firm that operates both physical stores and an online e-tail site is said to be a click-and-mortar business selling in a _____. | multichannel business model
Which of the following E-Commerce model conduct almost through out wireless network or portable device? | M-Commerce
______ is the electronic delivery of newspapers, magazines, books, videos, music, and other digitizable information over the Internet. | Online publishing
Amazon e-commerce system is an example of _____________ | Pure-play e-tailers
There are two statements: Statement A: WAP stands for Wireless Application Protocol Statement B: VoIP stands for Video over Internet Protocol Which of the statements is/ are correct? | A is True, B is False
In E-Commerce framework, the Policy part is belonged to _________________ | Support services layer
The major _____ e-marketplaces are storefronts and Internet malls. | B2C
Which of the following is NOT a standard used in E-Commerce? | IFI
Which of the following wireless technology has the lowest coverage of signal? | WiFi
Which of the following network type has the largest range of geography implement? | WAN
Basic marketing model is based on 4P factor. There are Product, Price, Promotion, and __________ | Place
Which of the following item is NOT included in the four major categories of e-government services? | government-to-customers
Digital signature is based on _______________ | public key infrastructure
An e-tailer uses cookies to identify returning customers and to provide suggested products for purchase based on prior shopping behavior. This is an example of: | personalization.
Social class, lifestyle, personality, and activities are descriptors used in _____ market segmentation. | psychographic
In chapter 8 - Marketing and Advertising in E-Commerce, AIDA model is mentioned and used to analyze their differences in illustrating an online purchasing behavior. What does the second A in AIDA stand for? | Action
Which of the following items drivers of m-commerce? Hint: choose multiple (3) answers | ,The handset culture,Improving bandwidth,Improved price/performance
Which of the following case-study is opening case of chapter 8 - "Marketing and Advertising in E-Commerce"? | Netflix Increases Sales Using Movie Recommendations and Advertisements
Which of the following are main major characteristics of Web 2.0? Hint: choose multiple (3) answers | ,Rich User Experience,User Participation,Collaborative
Social media | The online platforms and tools that people use to share opinions, experiences, insights, perceptions, and various media, including photos, videos, and music, with each other
Social marketing | A combination of social policy and marketing practices to achieve a set of social behavioral goals within a target audience
Social capital | A sociological concept that refers to connections within and between social networks. The core idea is that social networks have value. Just as physical capital or human capital can increase productivity (both individual and collective), so can social contacts affect the productivity of individuals and groups.
Social media marketing | A term that describes use of social media platforms such as networks, online communities, blogs, wikis, or any other online collaborative media for marketing, market research, sales, CRM, and customer service.
Which of the following term is CORRECT with the description paragraph: "A term coined by Mark Zuckerberg of Facebook, which originally referred to the social network of relationships between users of the social networking service provided by Facebook. The idea was for Facebook to benefit from the social graph by taking advantage of the relationships between individuals that Facebook provides, to offer a richer online experience. This definition was expanded to refer to a social graph of all Internet users." | Social graph
Which of the following are benefits of social commerce to the consumer and to vendors? Hint: choose multiple answers | ,Customers' expectation can be meet in fully and quickly.,Increate trust via direct conversations.,Target advertisements more accurately
Arrange the following items in the correct order of the EC order fulfillment process (beginning step at top, and ending step at the bottom) | ,Making sure the customer will pay,Checking for in-stock availability,Arranging shipments,Replenishment,Contacts with customers
Select the correct answer from the choices below which is corresponding with the following statement in STRATEGIC PLANNING TOOLS" : It is a methodology that surveys external opportunities and threats and relates them to internal strengths and weaknesses. | SWOT analysis
Key business drivers for B2B are all of the following EXCEPT: | the willingness of companies to incur higher costs to improve collaboration.
Which of the following is an example of G2C ? U.S. Census: co quan di`u tra dn s cu?a Mi~ Chamber of Commerce: pho`ng thuong ma?i Mi~ | a driver applies for and pays for the renewal of his auto tag online.
With __________, a business sells to a business but delivers small quantities to customers of the buying business. | B2B2C
A company-based acquisition site that uses e-procurement methods such as reverse auctions, negotiations, or group purchasing to overcome the manual searching of e-stores and e-malls, is referred to as a(n) ________ | buy-side e-marketplace.
Benefits of e-procurement over traditional procurement methods include all of the following EXCEPT: | increasing the skill requirements and training needs of purchasing agents.
A single company that deploy an E-Commerce system by build up a website where their services are sold. What kind of EC system they have? | storefront
Flappybird is a game that allows peoples to play games for free. So that case study follows: | None of the others
Which is INCORRECT about company-centric marketplaces term? | It is a public marketplace entities owned by that company.
When a good or service is promoted, the purpose of the promotion is to inform, persuade, or remind customers. | True
When a tee shirt manufacturer states, "We only sell it in black because that way we can buy plenty of black fabric and run our plant efficiently," their statement reflects the views that were popular in which era of the evolution of marketing? | Production-oriented
Jami sells construction equipment. Whenever she calls on her building contractor customers, she asks if they are having any problems. In doing so, Jami is addressing which of the following core aspects of marketing? | Satisfying customer needs and wants
Auction sites like eBay have increased opportunities for __________ marketing. | C2C
All of the following are examples of e-government EXCEPT: | a company sells army and navy surplus supplies at auction over the Internet.
Government-to-employee applications can lead to significant efficiency improvements for all of the reasons EXCEPT: | Most government employees use handheld digital devices.
One of the most important issues in implementing e-government is: | its adoption and usage by citizens.
All of the following are advantages of e-learning EXCEPT: | college professors are anxious to develop new online courses.
A retail company that sell directly to consumers over the Internet without maintaining a physical sales channel. That is a example of _______________ | Pure-play e-tailers
In SCM, the supply chain of a manufacturer ends when______________ | the product is used
When the works of sale employees are recorded in real time, the organization benefits through each of the following EXCEPT: | more extensive collaboration and sharing of customer leads
Purchases of goods and services based on long-term contracts is referred to as: | strategic sourcing
__________ is commonly used to broadcast public lectures and e-seminars, promote the work of new or unknown musicians, and broadcast international entertainment activities | Webcasting
A type of e-book referred to as the ____________ is a truly multimedia, online-only book that has hyperlinks, three-dimensional text and display, graphics, audio, and video. It supports nonlinear exploration of topics. | rubics-cube hyperlink book
Risks in corporate blogging include all of the following EXCEPT: | the risk of disciplinary action against abusive bloggers.
Which of the following is INCORRECT about edutainment? | Some adult games like Doom, Grand Theft Auto, are example of edutainment.
In E-Commerce, what do PLM and VoIP stand for? Statement A: PLM stands for Product Life Management Statement B: VoIP stands for Voice over Internet Protocol Choose the right answer from the two statements! | Statement A is False, and Statement B is True
When a car manufacturer sells trucks, cars, and car parts to the government or military, this is an example of B2C marketing. | False
Supply chain management involves integrating the efforts of: | all of these.
The price of a product: | all of them are correct.
In the context of EC, __________ are electronic trading-community meeting places for many sellers and many buyers, and possibly for other business partners. | exchanges
The power adapters Dell sells with its computers are built by small companies who specialize in power-related accessories. Dell and the power adapter manufacturers are engaging in B2B marketing. | True
What is NOT a major benefit of m-commerce? Hint: choose two answers | ,Reduces time utilization and productivity of mobile employees,Increases time to order
Arrange the following items in the correct order of Knowledge Management (start at the top, end at the bottom) | ,Create and capture,Refine,Store,Manage,Disseminate,Assess and evaluate
Choose the right term corresponding with the following statement: "It is a method of e-commerce where shoppers friends become involved in the shopping experience; social shopping attempts to use technology to mimic the social interactions found in physical malls and stores" | Social shopping
Choose the best type from the following option: Uber, or GrabTaxi are example of _______ | L-Commerce
Which of the following term is the best description for the figure? | E-Government
A new type of e-commerce refers to the localization of products and services through mobile device and context aware computing technologies is called ___________ | L-Commerce
Ford's strategy is best described as: See figure | direct marketing from a manufacturer.
Which of the following content are benefit of E-Learning? Hint: choose multiple answers | ,Reduces travel time and travel costs for off-campus students,Self-paced learning modules allow students to work at their own pace
The term ___________ refers to the number of times users call up a page that has a banner on it during a specific period. | ad view
The term ___________ refers to the number of distinct individuals requesting pages from the website during a given period, regardless of how often they visit. (Visits refers to the number of times a site is visited, no matter how many unique visitors make up those sessions.) When an individual goes to a website on Tuesday, then again on Wednesday, this is recorded as two visits from one visitor (if the time period being measured is e.g. a week or month). | unique visitor
The risks of e-mail advertising management include all of the following EXCEPT: | measuring e-mail advertising effectiveness
The term ___________ refers to the way of measuring the success of an online advertising campaign for a particular website as well as the effectiveness of an email campaign by the number of users that clicked on a specific link. | click through rate
___________ is an advertising strategy that uses word-of-mouth marketing in which customers promote a product or service by telling others about it. | Viral marketing
A(n) _____________ is an online third party that brokers B2B transactions between a buyer and seller. | intermediary
Purchases of goods and services based on long-term contracts is referred to as______ | strategic sourcing
In E-Commerce B2B context, what does PRM stand for? See figure | Partner Relationship Management
Non-production materials such as equipment and tools that support production are called: | indirect materials
Indirect materials are typically used in __________________ activities. | maintenance, repair, and operation (MRO)
Which of the following term is correct with the following statement: "Develops knowledge of the Internet and computers skills that will help learners throughout their lives, careers and they can study anywhere they have access to a computer and Internet connection". | E-Learning
