_____ reasoning is reasoning about what we should do. | Practical
. "Closed-loop" production seeks to integrate what is presently waste, back into production. In an ideal situation, the waste of one firm becomes the resource of another, and such synergies can create eco-industrial parks. This principle is often referred to as: | biomimicry.
. Identify the practice of promoting a product by misleading consumers about the environmentally beneficial aspects of the product. | Greenwashing
. In the ethical decision-making process, creativity in identifying options is also known as _____. | moral imagination
"_____" include all of the groups and/or individuals affected by a decision, policy, or operation of a firm or individual. | Stakeholders
7. Which of the following is the objective of the Grayson-Himes Pay for Performance Act? | To ban future "unreasonable and excessive" compensation at companies receiving federal bailout money
10. Philosophers often emphasize that ethics is _____, which means that it deals with a person's reasoning about how he or she should act. | normative
15. The _____ discipline provides an account of how and why people do act the way they do. | descriptive
16. Individual codes of conduct based on one's value structures regarding how one should live, how one should act, what one should do, what kind of a person should one be etc. is sometimes referred to as _____. | morality
19. The _____ ethical tradition would take the two parties' agreement as evidence that both are better off than they were prior to the exchange and thus conclude that overall happiness has been increased by any exchange freely entered into. | utilitarian
30. Telling organizations that their ethical responsibilities end with obedience to the law: | is just inviting more legal regulation.
38. Which of the following refers to the pursuit of truth and the highest standard for what we should believe? | Theoretical reason
40. Which of the following can be thought of as the answer to the fundamental questions of theoretical reason? | The scientific method
A firm that balances its social goals against economic goals and does justice to both is said to follow the: | integrative model of corporate social responsibility.
A(n) _____ provides concrete guidance for internal decision making creating a built-in risk management system. | code of conduct
According to David Vogel,which of the following should a firm be most cautious about when engaging in CSR activities? | Investing in CSR when consumers are not willing to pay higher prices to support that investment.
According to philosopher Norman Bowie, managers have a responsibility to maximize profits as long as they: | respect human rights and cause no harm.
According to the _____ law of thermodynamics (the conservation of matter/energy), neither matter nor energy can truly be "created," it can only be transferred from one form to another. | first
Before environmental legislation was enacted, the primary legal avenue open for addressing environmental concerns was: | tort law.
Consumer vulnerability occurs when: | a person has an impaired ability to make an informed consent to the market exchange.
Corporate culture: | is fashioned by a shared pattern of beliefs, expectations, and meanings that influence and guide the thinking and behaviors of the members of that organization.
Corporate social responsibility refers to: | those things that businesses ought, or should, do, even if they would rather not.
Enlightened self-interest would be a valuable theory to introduce and apply in the _____ approach to health and safety. | market controlled
