What is NOT true about Fundamentals of software process improvement | Software process improvement is not necessary because it makes software development cost more
Which could requirements be reused in the scope of cross an enterprise | Security requirements , Constraints , Business rules
Which is the CORRECT statements that descnbe about background section in the template of Vision and scope document? | The background summanzes the important business
With statements are true | should start by brainstorming as many user classes as you can tt sponsor who he expects to use the system
Requirements are missed during elicitation that does not relate the software projects shooklril be finished on time | False
Software requirements specification template a be long to | Requirements Development Process Assets
Which is NOT a basic element of Plan when you do repuiremenls elicitation on your project? | Keep everyone engaged
What is true about Sources of trace link intonation | All above answers are true
Mach could requirements be reused in the scope across on an enterprise | Security requirements , Constraints , Business rules
Which techniques should not to be used for the Embedded software project when you do requirements elicitation | System interlace analysis
To understand user tasks and goals and the business objectives with which those tasks align the BA should discuss vv. users at which | Elicitation
the use of traceability lades helps to | identify, control, and track requirements changes
Proposed requirements changes are before being commrtled to. | thoughtfully evaluated
Requirement attributes include: | 1, 2, 3, 4
Which statement CORRECT describe the term user story? | A format to capture user requirements on agile projects in the form of one or two
What Is considered the traditional means or requirements elicitation? | Interviews
Impact analysis procedure and template are not necessary for change impact analysis | False
is the process of examining a project to identify potential threats | Risk assessment
Which is the most appropriate way when you want to resolve the disagreement requirement | Product owner or product champion for the user class decides
Which is(are) the characteristics of product backlog? | Multiple teams can work on a single product backlog.
Choose true sentence about links in the requirements chain | Requirements are related to each other
Wien analysis mcdel you should use when the customers present their requirements using Noun? | Entities or thou attributes (ERD)
Which tip is NOT belong to Interviews technique when you do requirements elicitation? | Fill all of the team roles
Which is the CORRECT statements that describe about business objectives section in the template of Vision and scope document? | the important business benefits the product will
According to Halle and Goldberg 2010 in Software Requirements, third edition; which is NOT a basic types of business rule? | References
According to Karl Wiegers and Joy Beatty in the book Software Requirements, | System requirement
The change control board charter includes: | 1, 2
What sentence is not true about requirements changes? | Requirements changes do not affect requirement effort
A throwaway prototype is most appropriate when: | Users , Have ,The gaps ,the team
Which of the following is not a type of software requirement? | Complexity
A listed acceptance criteria to fulfil certain requirements of a user and normally written from the perspective of an end-user. This is a | user story
Which is NOT the main audience of the software requirements specification document? | The competitor. who want to steal the data of the software system
